Name,Geber,Art,NJahr,Anschrift,Politikbereich,Zweck,Betrag
1. FC Wilmersdorf 1911 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"Blissestraße 20 b, 10713 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,4273
1. FC Wilmersdorf 1911 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2020,"Blissestraße 20 b, 10713 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,7590
1. Friedrichshainer BUDO - Club 90 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2016,"Welsestraße 27, 13057 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,250
1. Friedrichshainer Budo-Club ;90 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2017,"Welsestraße 27, 13057 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,250
1. Friedrichshainer Budo-Club ;90 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Welsestraße 27, 13057 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,508
1. Friedrichshainer Budo-Club ;90 e.V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"Welsestraße 27, 13057 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,785
1. Fußball Club Besiktas Berlin 2000 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2018,"Elsgrabenweg 25, 13587 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,793
1. Fußball Club Besiktas Berlin 2000 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"Elsgrabenweg 25, 13587 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,747
1. Fußball Club Besiktas Berlin 2000 e. V.,Senatsverwaltung für Inneres und Sport,Projektförderung,2020,"Elsgrabenweg 25, 13587 Berlin",Sport,Kosten für die Beschäftigung von Übungsleitern,1188
1. Fußball Club Union Berlin,Senatsverwaltung für Inneres und Sport,Projektförderung,2019,"An der Wuhlheide 263, 12555 Berlin",Sport,Kosten für die Beschäftigung von hauptberuflichen Verwaltungskräften in Sportverbänden und -vereinen,9000
1. Fußball Club Union Berlin e. V.,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2017,"An der Wuhlheide 263, 12555 Berlin",Bildung,Profivereine machen Schule - Bewegungs- und Sportförderung an Grundschulen,88320
1. Fußball Club Union Berlin e. V.,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2018,"An der Wuhlheide 263, 12555 Berlin",Bildung,Profivereine machen Kita - Bewegungs- und Sportförderung an Kitas,23200
1. Fußball Club Union Berlin e. V.,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2018,"An der Wuhlheide 263, 12555 Berlin",Bildung,Profivereine machen Schule - Bewegungs- und Sportförderung an Grundschulen,88320
1. Fußball Club Union Berlin e. V.,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2019,"An der Wuhlheide 263, 12555 Berlin",Bildung,Profivereine machen Kita - Bewegungs- und Sportförderung an Kitas,66240
